RefDes,Side,LocationX (Mil),LocationY (Mil),Rotation,Package,Value
R42,bottom,4186.023622,99.40944882,90,402,100k
C19,top,871.4706693,943.110315,0,402,100nF
C117,top,3701.98248,294.2913386,270,SMT_10TPE220ML,220 uF
CH2:Q3,bottom,4059.516535,2443.138189,180,SOT23,
R39,bottom,3354.133858,847.2440945,180,,6.8k
C49,bottom,3514.39811,484.0551181,180,402,16pF
R23,top,978.7541339,285.0533465,0,,0
C111,top,2826.630551,711.7830709,180,805,10uF
J22,top,2563.910748,626.1811024,0,SMT_502570-0893,
C40,bottom,3851.58874,1678.698228,0,402,100nF
CH0:R5,top,1248.031457,2557.086575,0,402,10k
C39,bottom,3354.133858,886.6141732,0,,1.0pF
R5,top,1270.669291,412.4295276,90,402,10k
R38,bottom,3558.858268,1071.442717,180,402,100k
C34,top,307.4663386,1773.622047,180,,10uF
TP8,bottom,4099.117283,2627.783858,180,SMT_TP,
D7,top,5816.715787,1168.677087,180,805,
D4,top,82.67712598,2317.913386,180,805,
CH2:C2,bottom,3903.362205,2691.000787,180,402,100nF
S3,top,971.0870866,54.23330709,180,,
C68,bottom,4217.702598,659.6456693,90,402,100nF
C124,top,2946.204134,1272.440945,0,,16pF
CH2:R8,top,3682.317323,2690.185433,270,,10k
C44,bottom,3558.858268,1274.025394,180,402,100nF
R85,bottom,3469.436614,1525.417323,90,402,10k
CH3:U2,bottom,5033.997362,2536.581457,270,MSOP-8,
R25,top,625.7734252,1214.880709,0,,6.8k
R98,top,2564.932677,706.1163386,270,402,100k
R26,top,1630.905512,1619.277244,90,,0
C31,top,1121.639567,271.2738189,90,402,100nF
C125,top,2862.135039,1272.440945,180,,16pF
CH3:C3,top,4780.511811,2620.725157,90,402,100nF
CH0:R3,bottom,1590.445591,2586.965906,180,402,5.1
C66,bottom,3558.858268,1229.517913,180,402,100nF
J23,bottom,2347.244094,626.9685039,0,SMT_502570-0893,
C59,top,3830.132087,1589.974606,90,805,10uF
CH1:R7,top,2409.896142,2686.023622,0,402,10k
U908,bottom,3311.023622,2530.11811,180,SOT-23-6,
CH3:U1,top,4674.381535,2593.742677,270,SOT-23-6,
R115,top,5540.628268,1202.718228,270,402,0
J25,top,66.92913386,1523.622165,0,,USB-MICRO B
CH2:U1,top,3532.879961,2593.503937,270,SOT-23-6,
C73,top,1735.23626,1942.913386,90,805,10uF
Z144,top,294.2913386,755.9055512,90,603,CG0603MLC-05E
D8,top,82.67712598,2243.110236,180,805,
R110,top,5709.621929,2034.448819,0,402,1k
R33,bottom,3440.747244,749.9715748,270,402,39
C71,bottom,835.4609843,2148.45315,90,,10uF
R111,top,5721.73063,1153.543307,90,402,1k
R154,top,3235.23622,1893.286417,0,,0
C128,top,322.4269685,1022.637795,180,,10uF
CH3:R5,top,4540.930906,2554.597402,0,402,10k
C105,top,4506.650984,2422.820669,270,,1uF
R136,bottom,3207.677165,2697.49685,180,402,1.5M
CH2:Q1,top,3586.33815,2425.421654,0,,
C79,top,5042.636929,2030.643031,180,402,100nF
R94,top,5108.412913,1219.788307,180,402,10k
S1,top,647.9798425,2347.609843,180,,
C13,top,1860.067323,844.6850394,180,402,100nF
R41,bottom,4150.590551,99.40944882,270,,0
CH1:C2,bottom,2829.183346,2693.321063,180,402,100nF
C58,bottom,3558.858268,1305.690354,180,402,100nF
C119,top,3089.833504,694.853937,0,805,10uF
R109,top,5446.716654,316.9291339,0,402,1k
R112,top,5300.06311,392.8757087,90,402,0
CH3:C2,bottom,5044.86378,2691.239528,180,402,100nF
Y3,bottom,3434.84252,1047.023622,270,SMD_CRYSTAL,32.768Khz
CH0:Q3,bottom,1908.118661,2445.866102,180,SOT23,
C48,bottom,3689.297441,484.0551181,0,402,16pF
CH2:C1,bottom,3798.353504,2537.570472,270,402,68pF
R44,top,4653.950984,518.2931102,90,402,100k
R145,top,2085.629921,1522.06748,270,402,10k
CH3:R1,top,4601.954528,2475.532087,90,402,100k
U38,top,1367.702598,899.8031496,180,LQFP144,ATSAM3X8EA-AU
C22,top,871.4706693,847.4699213,0,402,100nF
C100,top,5066.258976,2095.603661,180,805,10uF
R141,top,3262.190748,1168.307283,270,402,47k
C6,top,716.5354331,1059.251969,270,402,16pF
CH1:R1,top,2386.274094,2477.613622,90,402,100k
C77,top,2073.874646,2006.889764,90,805,10uF
D5,top,5451.771654,48.22834646,180,805,
FB39,top,605.511811,1113.147047,180,SMD,MH2029-300Y
U731,top,2954.330709,980.511811,90,,
R10,top,800.3937008,1201.101181,270,402,39
R103,top,110.8127953,1200.787402,180,402,1k
TP2,bottom,2378.806732,2651.757677,270,SMT_TP,
R150,top,658.4645669,2050.604528,270,402,100k
C76,top,4306.102362,2012.887638,90,805,10uF
R143,bottom,2992.404016,555.6667323,270,402,10k
TP9,bottom,5243.110236,2627.952756,180,SMT_TP,
R51,top,1486.452717,2228.346457,0,1206,0.4
R114,top,5623.305433,1202.718228,270,402,0
J4,top,4862.204724,735.2362205,270,,
R133,top,1924.789173,375.984252,90,402,1k
CH1:R8,top,2608.138465,2692.505709,270,,10k
R124,bottom,2599.409449,712.190748,270,402,100k
R134,top,1889.829528,374.8311024,90,402,1k
CH1:C3,top,2564.831378,2622.806693,90,402,100nF
TP7,bottom,3019.685039,2627.376181,180,SMT_TP,
R1,top,1919.249331,1433.070866,180,402,100k
TP4,bottom,3463.813386,2643.307087,90,SMT_TP,
U588,bottom,3084.645669,2178.726181,270,SOT23,
J8,top,4367.491772,432.0866142,270,,
R148,top,590.9588583,2129.513583,90,,330
CH2:R5,top,3399.429331,2554.358661,0,402,10k
CH0:R8,top,1530.919449,2692.913346,270,,10k
C67,bottom,3238.568701,1019.94311,180,805,10uF
D6,top,5818.152165,2041.469803,180,805,
C30,top,1121.639567,347.8066929,90,402,100nF
U884,top,4505.905512,2054.22622,90,SOT-223-4,
C55,bottom,4554.907283,1192.501378,0,402,100nF
R128,top,221.8643701,2249.015748,0,402,2k
R89,top,2755.822087,2199.187008,270,805,0
R123,bottom,2460.395394,705.4698819,270,402,10k
C25,top,1019.685039,410.2222441,90,402,100nF
R3,top,1630.905512,1519.340512,90,402,100k
R144,top,2004.92126,1446.850394,270,402,10k
C70,bottom,900.8292126,2092.18189,90,,10uF
CH0:R2,bottom,1590.445591,2494.591457,180,402,5.1
R24,top,283.8442913,1927.165354,180,,10k
C102,top,5433.344803,1065.288701,0,,100nF
R130,bottom,380.8398819,2605.905512,90,402,100k
U881,top,1203.33248,2053.388386,90,SOT-223-4,
R101,top,2520.603661,706.1163386,270,402,100k
R87,top,5833.661417,2371.062992,90,603,68
C26,top,869.0944882,422.848622,90,805,10uF
C27,top,1188.161024,1456.889764,270,805,10uF
R99,top,2260.761142,706.1163386,270,402,100k
R37,bottom,3558.858268,1150.009646,0,402,100k
S2,bottom,4017.716535,54.80988189,180,,
Z28,top,376.7714567,1587.992205,270,603,CG0603MLC-05E
C115,top,3225.970276,1168.307283,270,402,220pF
C64,bottom,3705.919449,1651.377953,270,402,100nF
CH2:C3,top,3639.010236,2620.486417,90,402,100nF
CH0:C3,top,1487.612362,2623.214331,90,402,100nF
C108,top,1240.902953,2429.11689,0,,1uF
U424,top,2216.325394,993.5695276,0,QFN24,
R43,top,4612.045394,519.1084646,90,402,100k
C51,bottom,3370.866142,1006.547638,90,402,16pF
C74,top,3084.004528,2237.781299,0,805,10uF
C32,top,287.2047244,1723.425197,0,,10nF
C43,bottom,3848.228307,629.3167323,90,402,100nF
Q3,top,5650.912717,2318.475984,0,SOT23,
C7,top,716.5354331,975.4216535,90,,16pF
FB109,bottom,3774.409449,1748.987795,270,SMD,MH2029-300Y
U883,top,3365.565157,2054.133858,90,SOT-223-4,
C10,top,871.4706693,1084.265945,0,402,100nF
U417,bottom,3300.244213,1515.940787,180,SOIC8,
C45,bottom,3558.858268,970.2992126,180,402,100nF
CH3:R7,top,4625.576575,2683.942087,0,402,10k
R4,top,1327.755906,233.5350787,90,402,10k
C126,bottom,5832.543425,1117.125984,0,,10uF
C89,bottom,2724.733701,1999.423425,180,,100nF
C14,top,871.4706693,876.5887795,0,402,100nF
FB124,bottom,3643.09626,1633.661417,270,SMD,MH2029-300Y
C33,top,633.0708661,1183.384646,180,,1.0pF
Z27,top,382.6770472,1453.951024,90,603,CG0603MLC-05E
C63,bottom,3564.76378,1629.147835,270,805,10uF
CH1:U1,top,2458.701102,2595.824213,270,SOT-23-6,
J12,top,580.1837402,443.1758661,180,,
R88,top,2476.743701,706.1163386,270,402,10k
U842,top,465.5511811,2031.496063,180,TSSOP-8,
C69,bottom,4554.907283,1228.749803,0,402,100nF
U107,bottom,4050.407677,1157.307087,0,LQFP144,ATSAM3X8EA-AU
Y48,top,912.5844882,1442.716535,0,SMT_XTAL_5MM0_3MM2,
C75,top,3168.307087,2010.817126,90,805,10uF
CH1:R3,bottom,2667.664606,2586.558268,180,402,5.1
R12,top,748.0314961,855.9194882,270,402,100k
R126,bottom,547.9518898,2376.954528,270,402,2k
C54,bottom,3558.858268,1107.470669,180,402,100nF
F67,bottom,483.6346063,2136.810984,270,1812,0.15 to 1 ԩ
C123,top,2761.741339,1254.752165,0,805,10uF
C12,top,1627.545079,411.0375984,90,402,100nF
J24,bottom,177.9527559,2024.60622,180,CONN,
C62,bottom,3912.78122,597.7216535,90,805,10uF
R92,top,5265.893228,1219.788307,0,402,10k
D442,top,5838.582677,2223.425197,90,"4-SMD, No Lead",
CH1:Q1,top,2512.159291,2427.741929,0,,
D3,top,44.29133858,1078.740157,270,805,
C46,bottom,3558.858268,1189.379724,180,402,100nF
R34,bottom,3440.747244,828.769252,90,402,39
R65,top,2531.002008,2227.938819,0,1206,0.4
C110,top,2802.503346,760.8267717,180,,100nF
C28,top,1132.874016,1432.297441,270,402,100nF
TP6,bottom,1953.740157,2626.968504,180,SMT_TP,
C53,bottom,4358.070827,1656.299213,270,402,100nF
J92,top,1844.488189,241.7183071,180,,
CH0:C2,bottom,1751.964331,2693.728701,180,402,100nF
Z149,top,160.4330709,562.007874,0,603,CG0603MLC-05E
FB41,top,1076.363976,1458.858268,270,SMD,MH2029-300Y
U705,bottom,539.1075984,2511.614173,270,QFN20,
FB65,top,1076.363976,335.657874,90,SMD,MH2029-300Y
C104,bottom,770.0926378,2206.116378,90,805,4.7uF
CH2:U2,bottom,3892.495787,2536.342717,270,MSOP-8,
J146,top,66.92913386,808.0708661,0,,USB-MICRO B
R95,top,5601.115472,2015.063898,0,402,10k
C20,top,873.101378,1165.551181,0,402,100nF
C116,top,3059.055118,229.7385039,270,SMT_10TPE220ML,220 uF
R122,bottom,2123.031496,222.0332677,270,402,39
S4,top,1936.023622,1032.086654,270,,
C107,top,2315.944882,2410.433071,0,,1uF
CH1:R6,top,2325.250472,2635.770866,0,402,249k
Z143,top,294.2913386,883.661378,270,603,CG0603MLC-05E
Y1,top,783.4645669,1015.368307,90,SMD_CRYSTAL,32.768Khz
C93,top,2228.922992,875.4592913,90,,100nF
R93,top,5479.068228,2017.847756,0,402,10k
R149,top,325.182874,1143.335039,180,,10k
R75,top,4764.300394,2225.393701,0,1206,0.4
TP1,bottom,1305.078465,2650.550906,90,SMT_TP,
C36,top,816.9291339,88.07555118,90,,10nF
CH1:R5,top,2325.250472,2556.678937,0,402,10k
CH2:R1,top,3460.452953,2475.293346,90,402,100k
CH1:R4,top,2346.904016,2477.613622,90,402,249k
C65,bottom,3558.858268,891.5590551,180,402,100nF
C106,top,3390.739961,2424.464016,0,,1uF
CH3:R3,bottom,4883.345039,2584.476732,180,402,5.1
R113,top,5354.773543,392.8757087,90,402,0
R121,bottom,2636.168819,712.7673228,270,402,100k
C11,top,1540.930906,1391.929134,270,402,100nF
CH0:U1,top,1381.482087,2596.23185,270,SOT-23-6,
CH3:Q3,bottom,5201.01811,2443.376929,180,SOT23,
Q4,top,5650.912717,2170.064764,0,SOT23,
R2,top,1769.249449,1434.055118,180,402,100k
C23,top,1352.531102,1464.370079,180,805,10uF
C15,top,871.4706693,783.0848425,0,402,100nF
CH0:U2,bottom,1741.097913,2539.07063,270,MSOP-8,
C37,top,1101.377953,1876.560827,180,805,10uF
R125,bottom,584.383189,2376.954528,270,402,100k
C78,top,5830.982598,1074.723543,180,,100nF
C94,bottom,3469.436614,1461.731496,270,402,100nF
CH3:R8,top,4823.818898,2690.424173,270,,10k
R129,bottom,380.8398819,2536.62815,90,402,270k
R119,bottom,2361.023622,709.4767717,270,402,100k
R142,top,3813.772559,416.9151575,270,402,10k
D2,top,44.29133858,1242.125984,270,805,
